lncRNA,Index
GRIK1-AS1,854
RP11-617D20.1,855
CTD-2037K23.2,856
RP5-1007G16.1,857
MIR7-3HG,858
RP11-715J22.2,859
LINC00304,860
RP11-386I8.6,861
Z83851.3,862
RP5-855F14.1,863
LINC00313,864
LINC00643,865
IDH1-AS1,866
RP11-588G21.2,867
SPATA41,868
LINC00176,869
LINC00238,870
RP11-274H24.1,871
AC090286.4,872
AC015969.3,873
LINC00970,874
RP11-132A1.4,875
SPATA42,876
RP11-290F20.1,877
RSU1P2,878
TDRG1,879
AC079742.4,880
AC074289.1,881
RP5-1004I9.1,882
LINC01121,883
H1FX-AS1,884
RP11-475O6.1,885
LINC00277,886
LINC00671,887
RP11-453F18__B.1,888
RP11-31K23.2,889
RP11-138I17.1,890
VAC14-AS1,891
AP000472.2,892
LINC00478,893
MIR17HG,894
AP001053.11,895
RP11-397G17.1,896
NKAPP1,897
RP11-434D9.1,898
CASC11,899
RP3-467K16.2,900
AC079305.10,901
MEG9,902
LINC00690,903
LINC01137,904
RP11-716O23.1,905
LINC00284,906
RP11-54O7.3,907
RP4-598G3.1,908
RP11-125M16.1,909
LL22NC03-86G7.1,910
AC009506.1,911
DNAJC27-AS1,912
AP000253.1,913
LINC00320,914
RP11-349E4.1,915
LINC00337,916
RP11-55K22.5,917
RP11-63P12.6,918
BOLA3-AS1,919
RP11-443C10.1,920
RP11-127O4.3,921
LINC01102,922
RUSC1-AS1,923
RP1-69M21.2,924
HAR1A,925
FGF13-AS1,926
AC018705.5,927
RP11-436I24.1,928
RP11-276H19.1,929
ISPD-AS1,930
RP4-813D12.3,931
CTD-2135D7.4,932
KB-1410C5.2,933
ST7-AS2,934
AC093375.1,935
PARD3-AS1,936
SLC16A1-AS1,937
RP11-10A14.7,938
RP1-117O3.2,939
FAM66C,940
DAB1-AS1,941
RP11-203B9.4,942
AC011893.3,943
AC097724.3,944
RP11-594N15.2,945
SLC8A1-AS1,946
RP5-1184F4.5,947
AC005358.3,948
DIAPH3-AS1,949
SNHG9,950
SLC2A1-AS1,951
RP11-13E5.2,952
RP11-492E3.2,953
SH3RF3-AS1,954
SUCLA2-AS1,955
PXN-AS1,956
AC099684.1,957
RP11-541F9.2,958
RP11-955H22.3,959
RP3-508I15.9,960
RP11-255G21.1,961
TEX36-AS1,962
RP1-224A6.3,963
RP5-1120P11.1,964
RP5-872K7.7,965
RP11-787B4.2,966
SRGAP3-AS2,967
GS1-18A18.2,968
AP001626.2,969
RP11-38C18.3,970
MIR4500HG,971
RP11-268G12.1,972
HNF4A-AS1,973
RP11-265D19.6,974
RP5-952N6.1,975
RP11-360P21.2,976
RP11-167N24.3,977
RP11-20J15.3,978
RP11-90K6.1,979
AC007038.7,980
RP11-887P2.5,981
AC003986.5,982
AC108056.1,983
RP11-462L8.1,984
LINC00881,985
RP3-495K2.2,986
AC013460.1,987
RP11-314N13.3,988
RP5-971N18.3,989
RP11-799P8.1,990
COX10-AS1,991
PVRL3-AS1,992
RP11-90C4.2,993
RP11-334J6.6,994
NAALADL2-AS3,995
RP11-420G6.4,996
RP5-1157M23.2,997
MNX1-AS1,998
RP11-798K3.2,999
RP11-521D12.5,1000
RP11-752G15.3,1001
LINC00052,1002
RP11-259A24.1,1003
AC108676.1,1004
RP11-584P21.2,1005
RP11-767N6.7,1006
RP11-875O11.1,1007
RP11-293M10.5,1008
LINC00326,1009
LINC00461,1010
DACT3-AS1,1011
RP11-277P12.20,1012
AC011752.1,1013
NADK2-AS1,1014
ITPR1-AS1,1015
RP11-18H21.1,1016
AP000696.2,1017
RP11-410E4.1,1018
RP11-260E18.1,1019
SBF2-AS1,1020
IL21R-AS1,1021
RP11-13A1.1,1022
RP11-553L6.5,1023
CTD-2382E5.1,1024
LINC01103,1025
PCAT7,1026
AC093391.2,1027
LINC00920,1028
LINC00564,1029
RP5-1007M22.2,1030
CTB-109A12.1,1031
RP11-307C12.11,1032
RP11-557H15.4,1033
RP11-79P5.2,1034
LINC01019,1035
LINC00838,1036
MEF2C-AS1,1037
RP11-713M15.1,1038
RP11-619L12.4,1039
RP11-1081M5.2,1040
AC124997.1,1041
RP11-319E12.1,1042
RP1-265C24.8,1043
RP11-344G13.1,1044
AC004158.3,1045
RP11-366L5.1,1046
RP11-872J21.3,1047
RP11-23F23.2,1048
RP11-79C6.3,1049
RP11-417F21.1,1050
RP11-613D13.8,1051
RP11-109E10.1,1052
KIRREL3-AS2,1053
RP11-9G1.3,1054
LINC01021,1055
CLSTN2-AS1,1056
JAZF1-AS1,1057
RP11-501J20.2,1058
RP11-704C2.1,1059
RP11-629O1.2,1060
AC125421.1,1061
RP11-322J23.1,1062
CTD-2049O4.1,1063
AC092660.1,1064
RP1-63G5.7,1065
RP11-374P20.4,1066
CTB-33O18.3,1067
RP11-3L8.3,1068
RP11-863K10.2,1069
RP11-152O14.1,1070
LINC00263,1071
RP11-141J13.5,1072
NEXN-AS1,1073
TTC28-AS1,1074
RP13-1032I1.7,1075
RP11-756K15.2,1076
LINC00445,1077
RP11-363E6.3,1078
RBPMS-AS1,1079
RP11-15K3.1,1080
CTD-2047H16.4,1081
RP11-526I2.1,1082
CTC-378H22.1,1083
RP11-299H22.1,1084
LINC00555,1085
RP11-300A12.2,1086
RP11-63D14.1,1087
RP11-565A3.2,1088
RP11-201A3.1,1089
RP11-587D21.4,1090
RP11-115C21.2,1091
FOXD2-AS1,1092
CTD-2302E22.4,1093
RP11-366M4.3,1094
CTD-2520I13.1,1095
USP30-AS1,1096
RP11-539L10.2,1097
RP11-54A4.2,1098
